story_id,author_id
1,1
2,2
161,3
162,4
347,5
350,6
352,7
355,8
356,9
357,10
358,11
359,12
360,13
361,14
362,15
363,16
367,17
369,18
372,19
373,20
377,21
378,22
381,23
382,24
383,25
384,26
385,27
386,28
388,29
392,30
393,31
398,32
399,33
400,34
403,35
407,36
408,37
409,38
412,39
414,40
415,41
416,42
424,43
425,44
426,45
427,46
428,47
429,48
430,49
444,50
445,51
446,52
447,53
448,54
449,55
450,56
451,57
452,58
474,59
483,60
486,61
488,62
508,63
509,64
510,65
513,66
515,67
518,68
519,69
523,70
528,71
529,72
530,73
531,74
532,75
533,76
535,77
536,78
537,79
540,80
542,81
543,82
544,83
545,84
546,85
547,86
548,87
550,88
551,89
552,90
556,91
557,92
561,93
563,94
564,95
566,96
567,97
568,98
569,99
570,100
572,101
574,102
575,103
576,104
578,105
580,106
582,107
583,108
588,109
589,110
593,111
594,112
596,113
599,114
600,115
603,116
604,117
606,118
608,119
609,120
611,121
615,122
622,123
638,124
640,125
641,126
643,127
644,128
645,129
671,130
672,131
673,132
674,133
676,134
680,135
681,136
682,137
683,138
684,139
685,140
686,141
689,142
690,143
692,144
693,145
698,146
700,147
701,148
703,149
704,150
706,151
707,152
708,153
713,154
714,155
715,156
716,157
717,158
718,159
719,160
720,161
721,162
722,163
724,164
725,165
726,166
727,167
728,168
729,169
730,170
731,171
732,172
733,173
734,174
735,175
736,176
737,177
738,178
739,179
740,180
741,181
742,182
743,183
744,184
745,185
746,186
747,187
748,188
749,189
750,190
751,191
752,192
753,193
754,194
756,195
757,196
758,197
759,198
760,199
764,200
777,201
778,202
779,203
780,204
782,205
783,206
784,207
785,208
786,209
787,210
788,211
789,212
790,213
794,214
795,215
796,216
797,217
799,218
800,219
801,220
802,221
803,222
804,223
805,224
806,225
807,226
809,227
811,228
812,229
813,230
815,231
816,232
819,233
820,234
821,235
822,236
823,237
824,238
825,239
826,240
829,241
830,242
831,243
832,244
833,245
834,246
838,247
839,248
840,249
841,250
846,251
847,252
849,253
850,254
851,255
852,256
853,257
854,258
855,259
858,260
860,261
861,262
863,263
864,264
865,265
866,266
868,267
870,268
871,269
872,270
874,271
875,272
876,273
877,274
878,275
880,276
882,277
884,278
885,279
886,280
887,281
888,282
890,283
891,284
892,285
895,286
896,287
920,288
921,289
922,290
923,291
924,292
925,293
928,294
929,295
930,296
931,297
932,298
933,299
935,300
936,301
937,302
938,303
939,304
941,305
942,306
943,307
945,308
946,309
947,310
948,311
949,312
950,313
951,314
952,315
954,316
955,317
959,318
960,319
961,320
962,321
963,322
965,323
966,324
967,325
969,326
970,327
971,328
972,329
973,330
974,331
975,332
976,333
977,334
978,335
979,336
980,337
983,338
984,339
985,340
986,341
987,342
988,343
989,344
990,345
991,346
993,347
995,348
996,349
998,350
999,351
1001,352
1002,353
1003,354
1005,355
1006,356
1007,357
1008,358
1009,359
1010,360
1011,361
1012,362
1013,363
1014,364
1015,365
1016,366
1018,367
1019,368
1020,369
1021,370
1022,371
1024,372
1025,373
1027,374
1028,375
1029,376
1030,377
1037,378
1039,379
1040,380
1041,381
1042,382
1043,383
1044,384
1045,385
1046,386
1047,387
1048,388
1049,389
1050,390
1051,391
1053,392
1055,393
1056,394
1057,395
1058,396
1059,397
1060,398
1061,399
1062,400
1063,401
1064,402
1065,403
1066,404
1067,405
1069,406
1070,407
1071,408
1073,409
1074,410
1075,411
1076,412
1079,413
1080,414
1081,415
1083,416
1084,417
1085,418
1086,419
1087,420
1088,421
1089,422
1090,423
1091,424
1092,425
1093,426
1094,427
1095,428
1097,429
1098,430
1099,431
1100,432
1101,433
1102,434
1103,435
1104,436
1106,437
1107,438
1108,439
1109,440
1110,441
1111,442
1112,443
1113,444
1114,445
1115,446
1116,447
1117,448
1118,449
1119,450
1120,451
1121,452
1122,453
1123,454
1124,455
1127,456
1129,457
1130,458
1131,459
1132,460
1135,461
1136,462
1137,463
1138,464
1139,465
1140,466
1141,467
1142,468
1143,469
1144,470
1145,471
1146,472
1147,473
1148,474
1150,475
1151,476
1152,477
1153,478
1154,479
1155,480
1157,481
1158,482
1159,483
1160,484
1161,485
1162,486
1163,487
1164,488
1165,489
1166,490
1167,491
1168,492
1169,493
1173,494
1174,495
1175,496
1177,497
1178,498
1179,499
1180,500
1181,501
1182,502
1183,503
1184,504
1185,505
1188,506
1189,507
1190,508
1191,509
1192,510
1193,511
1194,512
1195,513
1196,514
1197,515
1198,516
1199,517
1200,518
1201,519
1202,520
1203,521
1204,522
1205,523
1206,524
1209,525
1210,526
1212,527
1216,528
1219,529
1220,530
1221,531
1222,532
1223,533
1224,534
1225,535
1226,536
1227,537
1228,538
1231,539
1232,540
1233,541
1234,542
1235,543
1236,544
1237,545
1238,546
1239,547
1240,548
1241,549
1242,550
1243,551
1244,552
1245,553
1246,554
1247,555
1251,556
1252,557
1253,558
1254,559
1255,560
1256,561
1257,562
1259,563
1260,564
1261,565
1263,566
1264,567
1265,568
1266,569
1267,570
1268,571
1269,572
1270,573
1271,574
1272,575
1273,576
1274,577
1275,578
1277,579
1278,580
1286,581
1287,582
1288,583
1290,584
1291,585
1292,586
1293,587
1295,588
1296,589
1297,590
1298,591
1299,592
1300,593
1301,594
1302,595
1304,596
1305,597
1306,598
1307,599
1308,600
1309,601
1310,602
1311,603
1312,604
1313,605
1317,606
1318,607
1319,608
1321,609
1322,610
1323,611
1324,612
1325,613
1326,614
1329,615
1330,616
1331,617
1332,618
1334,619
1335,620
1336,621
1337,622
1338,623
1339,624
1340,625
1343,626
1345,627
1346,628
1347,629
1348,630
1349,631
1351,632
1352,633
1353,634
1355,635
1357,636
1358,637
1359,638
1360,639
1361,640
1363,641
1364,642
1365,643
1368,644
1369,645
1370,646
1371,647
1372,648
1373,649
1374,650
1375,651
1376,652
1377,653
1378,654
1379,655
1380,656
1381,657
1382,658
1383,659
1384,660
1385,661
1386,662
1387,663
1388,664
1389,665
1390,666
1391,667
1392,668
1394,669
1395,670
1396,671
1397,672
1399,673
1400,674
1401,675
1403,676
1406,677
1407,678
1408,679
1410,680
1411,681
1412,682
1413,683
1414,684
1416,685
1417,686
1418,687
1419,688
1420,689
1421,690
1422,691
1423,692
1424,693
1425,694
1427,695
1429,696
1431,697
1432,698
1433,699
1435,700
1436,701
1437,702
1439,703
1440,704
1441,705
1444,706
1445,707
1447,708
1448,709
1449,710
1450,711
1451,712
1452,713
1453,714
1454,715
1455,716
1458,717
1459,718
1460,719
1461,720
1462,721
1463,722
1464,723
1465,724
1466,725
1468,726
1469,727
1470,728
1471,729
1472,730
1473,731
1474,732
1475,733
1476,734
1477,735
1478,736
1479,737
1480,738
1481,739
1482,740
1483,741
1484,742
1485,743
1486,744
1489,745
1490,746
1491,747
1492,748
1493,749
1494,750
1495,751
1496,752
1497,753
1498,754
1499,755
1501,756
1502,757
1503,758
1504,759
1505,760
1506,761
1510,762
1511,763
1512,764
1513,765
1514,766
1515,767
1516,768
1517,769
1519,770
1520,771
1521,772
1522,773
1526,774
1528,775
1529,776
1530,777
1531,778
1532,779
1556,780
1557,781
1558,782
1559,783
1560,784
1561,785
1562,786
1563,787
1564,788
1565,789
1566,790
1567,791
1568,792
1569,793
1570,794
1571,795
1572,796
1574,797
1575,798
1576,799
1577,800
1578,801
1579,802
1580,803
1581,804
1582,805
1583,806
1584,807
1585,808
1586,809
1587,810
1588,811
1589,812
1590,813
1591,814
1592,815
1593,816
1595,817
1596,818
1597,819
1598,820
1599,821
1600,822
1601,823
1602,824
1603,825
1604,826
1605,827
1606,828
1607,829
1608,830
1609,831
1610,832
1611,833
1612,834
1613,835
1614,836
1616,837
1617,838
1618,839
1619,840
1620,841
1621,842
1622,843
1623,844
1624,845
1626,846
1628,847
1629,848
1631,849
1633,850
1634,851
1635,852
1637,853
1639,854
1640,855
1641,856
1642,857
1643,858
1644,859
1645,860
1646,861
1648,862
1649,863
1650,864
1651,865
1652,866
1653,867
1654,868
1655,869
1656,870
1657,871
1658,872
1659,873
1660,874
1661,875
1662,876
1663,877
1664,878
1665,879
1666,880
1667,881
1668,882
1669,883
1670,884
1671,885
1672,886
1673,887
1675,888
1676,889
1677,890
1679,891
1680,892
1681,893
1682,894
1683,895
1685,896
1686,897
1687,898
1688,899
1689,900
1690,901
1691,902
1692,903
1693,904
1694,905
1695,906
1696,907
1697,908
1698,909
1699,910
1702,911
1703,912
1704,913
1705,914
1707,915
1708,916
1709,917
1710,918
1711,919
1712,920
1713,921
1714,922
1715,923